Author_ID	Aff_Order	First name	Middle initial(s)	Last name	Department	Institute	City	Country
74	1	Lydia		Riedl	Department of Psychiatry and Psychotherapy	Philipps Universität	Marburg	Germany
75	1	Mathias		Scharinger	German Linguistics & Fine Arts Science,  Institute of German Linuguistics	University of Marburg	Marburg	Germany
76	1	Nathalia	B.	Esper	Neuroimaging of Human Cognition	Brain Institute of Rio Grande do Sul	Porto Alegre	Brazil
77	1	Lea-Theresa		Mais		University of Marburg	Marburg	Germany
78	1	Jean-Baptiste		Poline	Neurology and Neurosurgery	McGill University	Montréal, Québec	Canada
78	2				Helen Wills Neuroscience Institute	University of California, Berkley	Berkeley	USA
79	1	Sina		Mansour L.	Department of Biomedical Engineering	The University of Melbourne	Melbourne	Australia
80	1	Georg		Langs	CIR Department of Biomedical Imaging and Image-guided Therapy	Medical University of Vienna	Vienna	Austria
80	2				CSAIL	MIT	Cambridge	USA
81	1	Matteo		Mancini	Department of Neuroscience	Brighton and Sussex Medical School, University of Sussex	Brighton	UK
81	2					Cardiff University	Cardiff	UK
81	3					Polytechnique Montreal	Montréal, Québec	Canada
82	1	Suzanne	T.	Witt	BrainsCAN	University of Western Ontario	London ON	Canada
83	1	John	W.	VanMeter	Department of Neurology	Georgetown University	Washington D.C.	USA
83	2				Center for Functional and Molecular Imaging	Georgetown University Medical Center	Washington D.C.	USA
84	1	Erin	W.	Dickie	Krembil Centre from Neuroinformatics	Centre for Addiction and Mental Health	Toronto	Canada
84	2				Department of Psychiatry	University of Toronto	Toronto	Canada
85	1	Elizabeth		DuPre	NeuroDataScience - ORIGAMI laboratory	McGill University	Montréal, Québec	Canada
86	1	Micaela	Y.	Chan	Center for Vital Longevity, School of Behavioral and Brain Sciences	University of Texas at Dallas	Dallas TX	USA
87	1	Junaid	S.	Merchant	Neuroscience and Cognitive Science Program	University of Maryland	College Park MD	USA
87	2				Department of Psychology	University of Maryland	College Park MD	USA
88	1	Laura	C.	Rice	Neuroscience	American University	Washington D.C.	USA
88	2				Neurology	Johns Hopkins University	Baltimore MD	USA
89	1	Rudolph		Pienaar	Radiology	Boston Children's Hospital, Harvard Medical School	Boston	USA
89	2				Radiology	Harvard Medical School	Boston	USA
90	1	Serge		Koudoro		Indiana University	Bloomington IN	USA
91	1	Elizabeth	A.	McDevitt	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
92	1	Yasmine		Bassil	Graduate Division of Biological & Biomedical Sciences	Emory University	Atlanta	USA
93	1	Paula	P.	Brooks	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
94	1	Johanna		Bayer	Faculty of Medicine, Dentistry and Health Sciences	University of Melbourne	Melbourne	Australia
94	2					Orygen Youth Health	Melbourne	Australia
95	1	Rémi		Gau	Institute of psychology	Université catholique de Louvain	Louvain la Neuve	Belgium
96	1	Olivia	W.	Stanley	Centre for Functional and Metabolic Mapping	University of Western Ontario	London ON	Canada
96	2				Department of Medical Biophysics	University of Western Ontario	London ON	Canada
97	1	Geetika		Gupta	Department of Psychology	Western University	London ON	Canada
97	2				Brain and Mind Institute	Western University	London ON	Canada
98	1	Jason		Kai	Department of Medical Biophysics	University of Western Ontario	London ON	Canada
99	1	David		O'Connor	Department of Biomedical Engineering	Yale University	New Haven CT	USA
100	1	R.	Cameron	Craddock	Department of Diagnostic Medicine	The University of Texas at Austin Dell Medical School	Austin TX	USA
101	1	Matheus		Marcon	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
102	1	Anisha		Keshavan		Octave Bioscience		USA
102	2				eScience Institute	University of Washington	Seattle WA	USA
102	3				Institute for Learning and Brain Science	University of Washington	Seattle WA	USA
103	1	Steve		Wideman	NBL	University of Alabama at Birmingham	Birmingham AL	USA
103	2				CNC	University of Alabama at Birmingham	Birmingham AL	USA
104	1	Link		Tejavibulya	Interdepartmental Neuroscience Program	Yale University	New Haven CT	USA
105	1	Thomas	G.	Close	School of Biomedical Engineering	The University of Sydney	Sydney	Australia
105	2					National Imaging Facility	Sydney	Australia
106	1	Steffen		Bollmann	School of Information Technology and Electrical Engineering	The University of Queensland	Brisbane	Australia
106	2				Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
107	1	Patrick	J.	Park	Engineering	University of Western Ontario	London ON	Canada
108	1	Kirstie	Jane	Whitaker	Tools, Practices and Systems Research Programme	Alan Turing Institute	London	UK
109	1	Xi-Nian		Zuo	State Key Laboratory of Cognitive Neuroscience and Learning	Beijing Normal University	Beijing	China
109	2				National Basic Public Science Data Center	Chinese Academy of Sciences	Beijing	China
109	3				School of Education Sciences	Nanning Normal University	Nanning	China
110	1	Elizabeth		Levitis		National Institute of Mental Health	Bethesda MD	USA
110	2				Centre for Medical Image Computing, Department of Computer Science	University College London	London	UK
111	1	Aki		Nikolaidis	Center for the Developing Brain	Child Mind Institute	New York City	USA
112	1	Christopher	R.	Nolan	Department of Psychology	University of New South Wales	Sydney	Australia
113	1	José	C.	García Alanis	Department of Psychology	Philipps Universität	Marburg	Germany
114	1	Nicolas		Traut	Human Genetics and Cognitive Functions	Institut Pasteur	Paris	France
114	2				Center for Research and Interdisciplinarity	Université Paris Descartes	Paris	France
115	1	Lena		Dorfschmidt	Brain Mapping Unit, Department of Psychiatry	University of Cambridge	Cambridge	UK
116	1	Sook-Lei		Liew	Stevens Neuroimaging and Informatics Institute	University of Southern California	Los Angeles CA	USA
117	1	Fernando	A.	Barrios	Instituto de Neurobiología	Universidad Nacional Autónoma de México	Querétaro	México
118	1	Stephan		Heunis	Department of Electrical Engineering	Eindhoven University of Technology	Eindhoven	The Netherlands
119	1	Isil	P.	Bilgin	Biomedical Engineering,  Cybernetics	University of Reading	Reading	UK
119	2				Allied Health Professions	University of the West of England	Bristol	UK
120	1				Groupe d’Imagerie Neurofonctionnelle, Institut des Maladies Neurodégénératives- UMR 5293	CNRS CEA University of Bordeaux	Bordeaux	France
120	2				Center for Research and Interdisciplinarity	Université Paris Descartes	Paris	France
121	1	Peer		Herholz	McConnell Brain Imaging Centre, The Neuro (Montreal Neurological Institute-Hospital)	McGill University	Montréal, Québec	Canada
122	1	Anibal	S.	Heinsfeld	Computational Neuroimaging Lab	University of Texas at Austin	Austin TX	USA
122	2				Department of Computer Science	University of Texas at Austin	Austin TX	USA
123	1	Sofie		Van Den Bossche	Department of Data Analysis, Faculty of Psychology and Educational Sciences	Ghent University	Ghent	Belgium
124	1	Robert		Oostenveld	Donders Institute for Brain, Cognition and Behaviour	Radboud University	Nijmegen	The Netherlands
124	2				NatMEG	Karolinska Institutet	Stockholm	Sweden
125	1	Agah		Karakuzu	NeuroPoly Lab	Institute of Biomedical Engineering	Montréal, Québec	Canada
125	2				Montreal Heart Institute	University of Montréal	Montréal, Québec	Canada
126	1	Satrajit	S.	Ghosh	McGovern Institute for Brain Research	MIT	Cambridge	USA
126	2				Department of Otolaryngology - Head and Neck Surgery	Harvard Medical School	Boston	USA
127	1	Cyril	R.	Pernet	Centre for Clinical Brain Sciences	University of Edinburgh	Edinburgh	UK
128	1	James	M.	Shine	Faculty of Medicine and Health	The University of Sydney	Sydney	Australia
129	1	Oscar		Esteban	Department of Radiology	Lausanne University Hospital, University of Lausanne	Lausanne	Switzerland
130	1	Chao-Gan		Yan	CAS Key Laboratory of Behavioral Science	Institute of Psychology	Beijing	China
130	2				International Big-Data Center for Depression Research	Chinese Academy of Sciences	Beijing	China
131	1	Shreyas		Fadnavis		Indiana University	Bloomington IN	USA
132	1	Iska		Moxon-Emre	Child, Youth and Family Service	Centre for Addiction and Mental Health	Toronto	Canada
133	1	Alexandre	R.	Franco	Center for Biomedical Imaging and Neuromodulation	Nathan Kline Institute	Orangeburg NY	USA
133	2				Center for the Developing Brain	Child Mind Institute	New York City	USA
133	3				Department of Psychiatry	NYU Grossman School of Medicine	New York City	USA
134	1	Simon		Schwab		University of Zurich		Switzerland
135	1	Thomas	E.	Nichols	Big Data Institute	University of Oxford	Oxford	UK
135	2				WIN-FMRIB	University of Oxford	Oxford	UK
136	1	Aurina		Arnatkeviciute	The Turner Institute for Brain and Mental Health, School of Psychological Sciences	Monash University	Victoria	Australia
137	1	Sidhant		Chopra	Turner Institute for Brain and Mental Health	Monash University	Melbourne	Australia
138	1	Jakub		Vohryzek	Department of Psychiatry	University of Oxford	Oxford	UK
139	1	Stephanie	J.	Forkel	CNRS UMR 5293 Institut des Maladies Neurodégénératives		Bordeaux	France
139	2				Department Neuroimaging,  Institute of Psychiatry, Psychology and Neurosciences	King's College London	London	UK
140	1	Ina		Thome	Department of Psychiatry and Psychotherapy	Philipps Universität	Marburg	Germany
140	2	Laura		Tomaz da Silva	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
141	1	Tomislav		Lipic	Laboratory for Machine Learning and Knowledge Representation	Ruder Boskovic Institute	Zagreb	Croatia
142	1	Pierre		Bellec	Psychology Department	University of Montréal	Montréal, Québec	Canada
142	2				Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
143	1	Jakša		Vukojević		University psychiatric hospital Vrače	Zagreb	Croatia
144	1	Eugene	P.	Duff		University of Oxford	Oxford	UK
145	1	Felix		Hoffstaedter	Institute of Neuroscience and Medicine, Brain & Behaviour (INM-7)	Research Centre Jülich	Jülich	Germany
145	2				Institute of Systems Neuroscience, Medical Faculty	Heinrich-Heine University Duesseldorf	Duesseldorf	Germany
146	1	Malin	S.	Sandström	INCF	Karolinska Institute	Stockholm	Sweden
